id,"nombre","localizacion","longitud"
1,"Monaco","Montecarlo","3.34"
2,"Silverstone","Reino Unido","5.89"
3,"Monza","Italia","5.79"
4,"Circuito de Suzuka","Japón","5.8"
5,"Circuito de Spa-Francorchamps","Bélgica","7.004"
6,"Circuito de Hockenheim","Alemania","4.574"
7,"Circuito de Interlagos","Brasil","4.309"
8,"Circuito de Imola","Italia","4.9"
id,"nombre","pais_origen","presupuesto"
1,"Mercedes","Alemania","300000000"
2,"Ferrari","Italia","280000000"
3,"Red Bull","Reino Unido","250000000"
4,"McLaren","Reino Unido","200000000"
5,"Aston Martin","Reino Unido","150000000"
6,"Alpine","Francia","140000000"
7,"Alfa Romeo","Suiza","120000000"
8,"Williams","Reino Unido","110000000"
id,"nombre","equipo","nacionalidad","puntos"
1,"Manuel","Mercedes","español","29"
2,"Emilio","Ferrari","mexicano","45"
3,"Jose","Red Bull","español","37"
4,"Carlos","McLaren","inglés","20"
5,"David","Aston Martin","francés","18"
6,"Lucas","Alpine","español","10"
7,"Fernando","Alfa Romeo","español","7"
8,"Sergio","Williams","mexicano","15"
9,"Lando","McLaren","inglés","60"
10,"Sebastian","Ferrari","alemán","33"
id,"id_piloto","id_circuito","posicion"
1,"1","1","1"
2,"2","2","2"
3,"3","3","3"
4,"4","4","4"
5,"5","5","5"
6,"6","6","6"
7,"7","7","7"
8,"8","8","8"
9,"1","2","2"
10,"2","3","1"
11,"3","4","3"
12,"4","5","1"
13,"5","6","2"
14,"6","7","4"
id,"año","campeon_piloto","campeon_equipo"
1,"2023","1","1"
2,"2024","2","2"
3,"2025","3","3"
4,"2026","4","4"
5,"2027","5","5"
6,"2028","6","6"
7,"2029","7","7"
8,"2030","8","8"